artist_id|artist_name|artist_popularity|artist_genres|artist_added_ts
7bu3H8JO7d0UbMoVzbo70s|The Cure|74|new wave, permanent wave, rock, uk post-punk|2023-07-11, 08:23:00
4Z8W4fKeB5YxbusRsdQVPb|Radiohead|79|alternative rock, art rock, melancholia, oxford indie, permanent wave, rock|2023-07-11, 08:23:00
4KWTAlx2RvbpseOGMEmROg|R.E.M.|72|alternative rock, athens indie, permanent wave, rock|2023-07-11, 08:23:00
7t0rwkOPGlDPEhaOcVtOt9|The Cranberries|72|irish rock, pop rock, rock|2023-07-11, 08:23:01
7oPftvlwr6VrsViSDV7fJY|Green Day|78|modern rock, permanent wave, punk, rock|2023-07-11, 08:23:01
7MhMgCo0Bl0Kukl93PZbYS|Blur|69|alternative rock, britpop, madchester, permanent wave, rock|2023-07-11, 08:23:02
2cGwlqi3k18jFpUyTrsR84|The Verve|64|britpop, permanent wave, rock, shoegaze|2023-07-11, 08:23:02
6olE6TJLqED3rqDCT0FyPh|Nirvana|79|grunge, permanent wave, rock|2023-07-11, 08:23:02
6zvul52xwTWzilBZl6BUbT|Pixies|69|alternative rock, boston rock, permanent wave, rock|2023-07-11, 08:23:03
40Yq4vzPs9VNUrIBG5Jr2i|The Smashing Pumpkins|70|alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge|2023-07-11, 08:23:03
5xUf6j4upBrXZPg6AI4MRK|Soundgarden|66|alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, rock|2023-07-11, 08:23:04
5sD1ZLf2dGQ9gQ3YJl1eAd|Blind Melon|60|alternative metal, alternative rock, grunge, pop rock, rock|2023-07-11, 08:23:05
0Grjlu7ncIuCaSYvCs9fcd|New Radicals|57|pop rock|2023-07-11, 08:23:05
3jOstUTkEu2JkjvRdBA5Gu|Weezer|72|alternative rock, modern power pop, modern rock, permanent wave, rock|2023-07-11, 08:23:07
2UazAtjfzqBF0Nho2awK4z|Stone Temple Pilots|66|alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, post-grunge, rock|2023-07-11, 08:23:08
1w5Kfo2jwwIPruYS2UWh56|Pearl Jam|73|alternative metal, alternative rock, classic rock, grunge, permanent wave, rock|2023-07-11, 08:23:09
03r4iKL2g2442PT9n2UKsx|Beastie Boys|69|alternative rock, east coast hip hop, golden age hip hop, hip hop, old school hip hop, rap, rap rock, rock|2023-07-11, 08:23:10
0sHeX8oQ6o7xic3wMf4NBU|Supergrass|57|alternative rock, britpop, oxford indie|2023-07-11, 08:23:11
1TqQi97nqeiuOJrIFv5Sw0|Semisonic|56|pop rock, post-grunge|2023-07-11, 08:23:12
4tZwfgrHOc3mvqYlEYSvVi|Daft Punk|80|electro, filter house, rock|2023-07-11, 08:23:12
3vbKDsSS70ZX9D2OcvbZmS|Beck|65|alternative rock, anti-folk, permanent wave, rock|2023-07-11, 08:23:13
6FXMGgJwohJLUSr5nVlf9X|Massive Attack|63|downtempo, electronica, trip hop|2023-07-11, 08:23:14
6liAMWkVf5LH7YR9yfFy1Y|Portishead|59|alternative rock, art pop, dark pop, electronica, laboratorio, trip hop|2023-07-11, 08:23:14
36E7oYfz3LLRto6l2WmDcD|Pulp|59|alternative rock, britpop, permanent wave, sheffield indie|2023-07-11, 08:23:15
3nnQpaTvKb5jCQabZefACI|Jeff Buckley|61|melancholia, permanent wave, singer-songwriter|2023-07-11, 08:23:15
0qLNsNKm8bQcMoRFkR8Hmh|James|58|britpop, madchester, permanent wave, pop rock|2023-07-11, 08:23:16
5SHQUMAmEK5KmuSb0aDvsn|Hole|58|alternative rock, grunge, riot grrrl|2023-07-11, 08:23:16
1lZvg4fNAqHoj6I9N8naBM|The Presidents Of The United States Of America|56|alternative rock, grunge, pop rock|2023-07-11, 08:23:17
