playlist_id|playlist_name|playlist_total_tracks|playlist_added_tracks|playlist_added_ts
37i9dQZF1DXaLI8a395lse|Alternative 90s|80|80|2023-07-11, 08:23:37
6KSZl2jHUqft3ycQZUVceZ|nash200|88|86|2023-07-11, 08:28:08
37i9dQZF1DX5w8WNnaxSfQ|NDW – Neue Deutsche Welle|50|50|2023-07-11, 08:52:48
37i9dQZF1DWXQyLTHGuTIz|Top Hits of 1970|100|100|2023-07-13, 13:44:15
37i9dQZF1DX43B4ApmA3Ee|Top Hits of 1971|100|100|2023-07-14, 10:07:45
37i9dQZF1DXaQBa5hAMckp|Top Hits of 1972|100|100|2023-07-14, 10:13:00
37i9dQZF1DX2ExTChOnD3g|Top Hits of 1973|100|100|2023-07-14, 10:24:46
37i9dQZF1DWVg6L7Yq13eC|Top Hits of 1974|100|100|2023-07-14, 10:27:10
37i9dQZF1DX3TYyWu8Zk7P|Top Hits of 1975|100|98|2023-07-14, 10:59:01
37i9dQZF1DX6rhG68uMHxl|Top Hits of 1976|100|99|2023-07-14, 11:01:32
37i9dQZF1DX26cozX10stk|Top Hits of 1977|100|100|2023-07-14, 13:11:49
37i9dQZF1DX0fr2A59qlzT|Top Hits of 1978|100|100|2023-07-14, 13:43:31
37i9dQZF1DWZLO9LcfSmxX|Top Hits of 1979|100|98|2023-07-14, 13:44:44
37i9dQZF1DWXbLOeOIhbc5|Top Hits of 1980|100|99|2023-07-14, 13:46:18
7CAmMVRiOUefGBbvQzMjhI|1981 Top 100 UK Hits|99|94|2023-07-14, 13:49:14
37i9dQZF1DXas7qFgKz9OV|Top Hits of 1982|100|99|2023-07-14, 13:50:35
37i9dQZF1DXbE3rNuDfpVj|Top Hits of 1983|100|97|2023-07-14, 13:51:54
37i9dQZF1DX2O7iyPnNKby|Top Hits of 1984|100|98|2023-07-14, 13:59:02
37i9dQZF1DWXZ5eJ1sVtmf|Top Hits of 1985|100|99|2023-07-14, 14:30:15
37i9dQZF1DX7b12kdMQTpG|Top Hits of 1986|100|98|2023-07-14, 14:31:36
37i9dQZF1DX38yySwWsFRT|Top Hits of 1987|100|97|2023-07-14, 14:32:58
37i9dQZF1DX3MZ9dVGvZnZ|Top Hits of 1988|100|99|2023-07-14, 14:34:14
37i9dQZF1DX4qJrOCfJytN|Top Hits of 1989|100|98|2023-07-14, 14:35:52
37i9dQZF1DX4joPVMjBCAo|Top Hits of 1990|100|97|2023-07-14, 14:51:41
37i9dQZF1DX6TtJfRD994c|Top Hits of 1991|100|95|2023-07-14, 15:17:24
37i9dQZF1DX9ZZCtVNwklG|Top Hits of 1992|100|95|2023-07-14, 15:18:40
37i9dQZF1DXbUFx5bcjwWK|Top Hits of 1993|100|91|2023-07-14, 15:20:28
37i9dQZF1DXbKFudfYGcmj|Top Hits of 1994|100|90|2023-07-14, 15:21:42
37i9dQZF1DXayIOFUOVODK|Top Hits of 1995|100|90|2023-07-14, 15:28:41
37i9dQZF1DWZkDl55BkJmo|Top Hits of 1996|100|96|2023-07-14, 15:30:34
37i9dQZF1DWWKd15PHZNnl|Top Hits of 1997|100|93|2023-07-14, 15:41:35
37i9dQZF1DWWmGB2u14f8m|Top Hits of 1998|100|93|2023-07-14, 15:43:34
37i9dQZF1DX4PrR66miO50|Top Hits of 1999|100|94|2023-07-14, 15:44:43
